	MBP	diameter mm
bubble life time[ms]	SFT	bubble life time[ms]	exp
	10/7/2025 3:45:18 PM		10/7/2025 3:45:18 PM
4.41364719368079	0.252926042293931	4.41364719368079	0.264616399254025
5.74106659429769	0.268824967875732	5.74106659429769	0.270073092480238
10.4010669204096	0.281923454297975	10.4010669204096	0.279710474412956
12.7968002421161	0.28361456711298	12.7968002421161	0.282358119610554
21.3028714060783	0.285840078350607	21.3028714060783	0.287653126285081
30.9254743158817	0.289779755377553	30.9254743158817	0.290639994346908
44.6395557373762	0.292871251222071	44.6395557373762	0.29300900900277
64.5370023945967	0.294993561077843	64.5370023945967	0.294927809701925
93.4079879522324	0.296852312587052	93.4079879522324	0.296478771681736
134.487716356913	0.297906268950042	134.487716356913	0.297712297469168
192.874402801196	0.298949452107882	192.874402801196	0.298699394737732
278.057648585393	0.299668880111684	278.057648585393	0.299509239635494
404.312431812286	0.300202035274822	404.312431812286	0.300176845744732
582.110420862834	0.300463940083317	582.110420862834	0.300700493623308
839.106529951096	0.30094834721696	839.106529951096	0.301124887930334
1208.75040384439	0.301080666700758	1208.75040384439	0.30146701706666
1739.13719824382	0.301660842362013	1739.13719824382	0.301742574899611
2505.00440597534	0.30168979846461	2505.00440597534	0.301965933503783
3607.16575842637	0.301765556098035	3607.16575842637	0.302146255965355
5199.19208379892	0.302157825717243	5199.19208379892	0.302292293983505
7510.67372163137	0.302166226103106	7510.67372163137	0.302410873075279
10847.6285934448	0.302254234391544	10847.6285934448	0.302506457934248
15641.3439750671	0.302427798505778	15641.3439750671	0.302583243858625
22569.4012641907	0.302514964155724	22569.4012641907	0.302645344452061
32380.0303141276	0.30274349344952	32380.0303141276	0.302694757389631
47006.7768096924	0.302996978727579	47006.7768096924	0.302735939547488
67897.7203369141	0.30312198577509	67897.7203369141	0.302768655269046
96379.7378540039	0.303326765404968	96379.7378540039	0.302793915548948
139054.695129395	0.303281234913065	139054.695129395	0.302815355040062
187734.359741211	0.303144725412027	187734.359741211	0.302829792113993
