time_s	surface_excess_mol_m2	dynamic_surface_tension_N_m
27.5	1.9052134359292345e-07	71.89951608163024
28.0	1.9240427333274058e-07	71.8995111763363
28.5	1.94272885718646e-07	71.89950630588423
29.0	1.9612755228340482e-07	71.89950146935873
29.5	1.979686286367054e-07	71.89949666588382
30.0	1.9979645540521083e-07	71.89949189462052
30.5	2.0161135910241713e-07	71.89948715476467
31.0	2.0341365293456505e-07	71.89948244554498
31.5	2.0520363754839115e-07	71.89947776622112
32.0	2.0698160172565e-07	71.89947311608208
32.5	2.087478230290009e-07	71.89946849444453
33.0	2.105025684034056e-07	71.89946390065133
33.5	2.122460947366698e-07	71.89945933407016
34.0	2.1397864938247393e-07	71.89945479409224
34.5	2.1570047064896386e-07	71.89945028013108
35.0	2.17411788255581e-07	71.89944579162142
35.5	2.1911282376064022e-07	71.8994413280181
36.0	2.2080379096194655e-07	71.89943688879511
36.5	2.224848962724325e-07	71.89943247344469
37.0	2.2415633907271423e-07	71.89942808147637
37.5	2.2581831204236428e-07	71.89942371241628
38.0	2.2747100147131834e-07	71.89941936580622
38.5	2.2911458755289637e-07	71.89941504120311
39.0	2.30749244659843e-07	71.89941073817819
39.5	2.3237514160443313e-07	71.89940645631638
40.0	2.339924418838263e-07	71.89940219521577
40.5	2.3560130391168108e-07	71.89939795448694
41.0	2.3720188123695201e-07	71.89939373375248
41.5	2.38794322750707e-07	71.89938953264645
42.0	2.403787728817861e-07	71.89938535081394
42.5	2.4195537178199974e-07	71.89938118791055
43.0	2.435242555015536e-07	71.899377043602
43.5	2.450855561553603e-07	71.89937291756374
44.0	2.466394020807203e-07	71.89936880948048
44.5	2.481859179870385e-07	71.89936471904592
45.0	2.4972522509791197e-07	71.89936064596232
45.5	2.5125744128622103e-07	71.8993565899402
46.0	2.527826812024928e-07	71.89935255069804
46.5	2.543010563970605e-07	71.89934852796193
47.0	2.558126754362822e-07	71.89934452146535
47.5	2.573176440132647e-07	71.89934053094882
48.0	2.588160650533071e-07	71.89933655615971
48.5	2.6030803881446724e-07	71.89933259685193
49.0	2.6179366298343586e-07	71.89932865278577
49.5	2.632730327670348e-07	71.89932472372756
50.0	2.647462409796132e-07	71.8993208094496
50.5	2.6621337812642493e-07	71.89931690972983
51.0	2.6767453248341175e-07	71.8993130243517
51.5	2.6912979017341285e-07	71.89930915310393
52.0	2.7057923523905166e-07	71.89930529578041
52.5	2.7202294971250784e-07	71.89930145217994
53.0	2.7346101368232123e-07	71.89929762210613
53.5	2.7489350535729666e-07	71.89929380536722
54.0	2.7632050112782145e-07	71.89929000177592
54.5	2.7774207562455144e-07	71.89928621114926
55.0	2.791583017747607e-07	71.89928243330847
55.5	2.8056925085630294e-07	71.89927866807886
56.0	2.819749925494884e-07	71.89927491528964
56.5	2.833755949868214e-07	71.89927117477387
57.0	2.847711248007406e-07	71.89926744636826
57.5	2.861616471695874e-07	71.89926372991312
58.0	2.8754722586163383e-07	71.89926002525223
58.5	2.8892792327753735e-07	71.89925633223274
59.0	2.903038004910849e-07	71.89925265070504
59.5	2.916749172884381e-07	71.89924898052273
60.0	2.930413322058498e-07	71.89924532154245
60.5	2.944031025660206e-07	71.89924167362383
61.0	2.957602845130592e-07	71.89923803662941
61.5	2.971129330462145e-07	71.89923441042457
62.0	2.9846110205231134e-07	71.89923079487735
62.5	2.998048443370562e-07	71.89922718985855
63.0	3.0114421165521713e-07	71.89922359524147
63.5	3.0247925473970385e-07	71.89922001090197
64.0	3.038100233296403e-07	71.89921643671835
64.5	3.051365661974522e-07	71.89921287257125
65.0	3.064589311750134e-07	71.89920931834368
65.5	3.0777716517885975e-07	71.89920577392087
66.0	3.090913142345959e-07	71.89920223919022
66.5	3.104014235004058e-07	71.8991987140413
67.0	3.117075372898522e-07	71.89919519836576
67.5	3.1300969909380296e-07	71.89919169205723
68.0	3.1430795160175163e-07	71.89918819501133
68.5	3.1560233672231984e-07	71.89918470712564
69.0	3.1689289560317957e-07	71.89918122829954
69.5	3.181796686502718e-07	71.89917775843428
70.0	3.1946269554642557e-07	71.89917429743286
70.5	3.2074201526936484e-07	71.89917084520006
71.0	3.220176661091827e-07	71.89916740164229
71.5	3.232896856852082e-07	71.89916396666764
72.0	3.2455811096236354e-07	71.89916054018582
72.5	3.258229782670601e-07	71.89915712210808
73.0	3.2708432330250103e-07	71.8991537123472
73.5	3.2834218116362973e-07	71.8991503108175
74.0	3.2959658635152205e-07	71.8991469174347
74.5	3.3084757278741295e-07	71.89914353211599
75.0	3.320951738262481e-07	71.89914015477993
75.5	3.3333942226987895e-07	71.89913678534643
76.0	3.345803503798173e-07	71.89913342373673
76.5	3.358179898896588e-07	71.89913006987341
77.0	3.370523720170982e-07	71.89912672368024
77.5	3.382835274756369e-07	71.8991233850823
78.0	3.3951148648591886e-07	71.89912005400585
78.5	3.407362787867466e-07	71.89911673037831
79.0	3.4195793364581285e-07	71.89911341412831
79.5	3.4317647987006464e-07	71.89911010518554
80.0	3.4439194581584577e-07	71.89910680348089
80.5	3.4560435939871377e-07	71.89910350894624
81.0	3.4681374810297005e-07	71.89910022151457
81.5	3.4802013899097597e-07	71.89909694111991
82.0	3.4922355871216946e-07	71.89909366769729
82.5	3.504240335118397e-07	71.89909040118272
83.0	3.516215892396888e-07	71.89908714151318
83.5	3.528162513581437e-07	71.89908388862662
84.0	3.5400804495042764e-07	71.89908064246193
84.5	3.551969947284599e-07	71.89907740295885
85.0	3.5638312504050625e-07	71.89907417005809
85.5	3.5756645987863126e-07	71.89907094370119
86.0	3.5874702288598884e-07	71.89906772383056
86.5	3.599248373638905e-07	71.89906451038942
87.0	3.6109992627867847e-07	71.89906130332186
87.5	3.62272312268471e-07	71.89905810257272
88.0	3.634420176497014e-07	71.8990549080877
88.5	3.6460906442345885e-07	71.89905171981322
89.0	3.6577347428175987e-07	71.89904853769644
89.5	3.6693526861354743e-07	71.89904536168532
90.0	3.6809446851065416e-07	71.89904219172853
90.5	3.6925109477350985e-07	71.89903902777543
91.0	3.704051679167927e-07	71.8990358697761
91.5	3.715567081748931e-07	71.89903271768131
92.0	3.727057355072465e-07	71.8990295714425
92.5	3.738522696035726e-07	71.89902643101176
93.0	3.7499632988893867e-07	71.89902329634185
93.5	3.761379355287382e-07	71.89902016738615
94.0	3.7727710543350874e-07	71.89901704409868
94.5	3.7841385826369505e-07	71.89901392643405
95.0	3.7954821243425453e-07	71.89901081434749
95.5	3.8068018611914146e-07	71.89900770779482
96.0	3.818097972557349e-07	71.89900460673245
96.5	3.8293706354913686e-07	71.8990015111173
97.0	3.840620024763563e-07	71.89899842090693
97.5	3.851846312904166e-07	71.89899533605941
98.0	3.8630496702435646e-07	71.89899225653335
98.5	3.8742302649515495e-07	71.89898918228789
99.0	3.8853882630756374e-07	71.89898611328267
99.5	3.8965238285782654e-07	71.89898304947789
100.0	3.907637123373432e-07	71.89897999083422
100.5	3.9187283073624117e-07	71.89897693731281
101.0	3.929797538468749e-07	71.89897388887532
101.5	3.9408449726723757e-07	71.89897084548389
102.0	3.951870764042986e-07	71.89896780710109
102.5	3.9628750647726375e-07	71.89896477368998
103.0	3.973858025207834e-07	71.8989617452141
103.5	3.984819793880797e-07	71.89895872163734
104.0	3.9957605175397447e-07	71.89895570292416
104.5	4.006680341179298e-07	71.8989526890393
105.0	4.017579408069164e-07	71.89894967994807
105.5	4.0284578597834793e-07	71.89894667561609
106.0	4.039315836228089e-07	71.89894367600942
106.5	4.0501534756685596e-07	71.89894068109453
107.0	4.060970914756786e-07	71.89893769083828
107.5	4.0717682885574686e-07	71.89893470520792
